Date and Time,input_2,input_1,in_1_calculated
2020-04-13 10:55:24+02:00,8.931,,
2020-04-13 10:58:24+02:00,11.532,,
2020-04-13 11:01:24+02:00,11.275,,
2020-04-13 12:23:49+02:00,9.81,,
2020-04-13 12:26:50+02:00,11.038,,
2020-04-13 12:51:39+02:00,7.671,,
2020-04-13 16:36:15+02:00,11.928,14.607,
2020-04-13 16:40:33+02:00,9.468,4.001,
2020-04-13 16:43:33+02:00,11.75,5.201,
2020-04-13 16:46:33+02:00,10.764,4.601,
2020-04-13 16:49:33+02:00,11.416,5.601,
2020-04-13 16:52:33+02:00,8.225,4.401,
2020-04-13 16:55:34+02:00,11.728,5.001,
2020-04-13 16:58:35+02:00,9.553,4.301,
2020-04-13 17:01:35+02:00,11.767,4.301,
2020-04-13 17:04:35+02:00,10.677,5.701,
2020-04-13 17:07:35+02:00,10.393,5.901,
2020-04-13 17:10:36+02:00,11.987,5.101,
2020-04-13 17:13:36+02:00,10.788,5.101,
2020-04-13 17:16:37+02:00,10.318,4.801,
2020-04-13 17:19:37+02:00,9.226,5.401,
2020-04-13 17:22:37+02:00,8.714,6.401,
2020-04-13 17:25:38+02:00,8.936,9.001,
2020-04-13 17:28:40+02:00,8.672,9.601,
2020-04-13 17:31:40+02:00,8.832,7.201,
2020-04-13 17:34:41+02:00,9.632,7.701,
2020-04-13 17:37:41+02:00,8.043,10.101,
2020-04-13 17:40:42+02:00,11.105,9.701,
2020-04-13 17:43:43+02:00,8.066,8.201,
2020-04-13 17:46:43+02:00,11.452,6.201,
2020-04-13 17:49:43+02:00,8.157,7.601,
2020-04-13 17:52:43+02:00,8.993,6.401,
2020-04-13 17:55:44+02:00,8.751,7.401,
2020-04-13 17:58:44+02:00,8.157,7.601,
2020-04-13 18:01:44+02:00,9.581,5.601,
2020-04-13 18:04:44+02:00,9.81,4.001,
2020-04-13 18:07:44+02:00,9.955,4.601,
2020-04-13 18:10:45+02:00,8.92,5.401,
2020-04-13 18:13:45+02:00,11.335,7.401,
2020-04-13 18:16:46+02:00,8.115,6.701,
2020-04-13 18:19:46+02:00,11.452,6.701,
2020-04-13 18:22:46+02:00,9.606,6.901,
2020-04-13 18:25:47+02:00,10.219,5.901,
2020-04-13 18:28:47+02:00,8.293,5.101,
2020-04-13 18:31:48+02:00,10.807,4.001,
2020-04-13 18:34:48+02:00,10.488,4.401,
2020-04-13 18:37:48+02:00,8.39,5.601,
2020-04-13 18:40:49+02:00,8.466,6.201,
2020-04-13 18:43:49+02:00,10.808,4.401,
2020-04-13 18:46:50+02:00,8.902,7.101,
2020-04-13 18:49:50+02:00,9.247,8.301,
2020-04-13 18:52:50+02:00,9.074,8.701,
2020-04-13 18:55:50+02:00,10.783,6.501,
2020-04-13 18:58:52+02:00,10.189,5.801,
2020-04-13 19:01:52+02:00,10.14,8.401,
2020-04-13 19:04:53+02:00,11.745,9.901,
2020-04-13 19:07:53+02:00,11.742,11.301,
2020-04-13 19:10:53+02:00,9.561,11.901,
2020-04-13 19:13:54+02:00,11.572,13.901,
2020-04-13 19:16:54+02:00,9.635,12.701,
2020-04-13 19:19:54+02:00,8.081,13.501,
2020-04-13 19:22:54+02:00,8.926,16.701,
2020-04-13 19:25:55+02:00,11.237,17.001,
2020-04-13 19:28:56+02:00,11.506,17.801,
2020-04-13 19:31:56+02:00,9.604,15.401,
2020-04-13 19:34:56+02:00,8.89,14.401,
2020-04-13 19:37:56+02:00,8.113,15.801,
2020-04-13 19:40:56+02:00,10.056,15.201,
2020-04-13 19:43:57+02:00,10.819,14.601,
2020-04-13 19:46:57+02:00,8.709,15.201,
2020-04-13 19:49:57+02:00,8.043,16.201,
2020-04-13 19:52:57+02:00,9.678,18.401,
2020-04-13 19:55:57+02:00,11.524,18.801,
2020-04-13 19:58:58+02:00,10.811,18.201,
2020-04-13 20:01:58+02:00,10.276,17.201,
2020-04-13 20:04:59+02:00,8.337,15.301,
2020-04-13 20:07:59+02:00,8.103,14.501,
2020-04-13 20:10:59+02:00,10.102,15.301,
2020-04-13 20:14:00+02:00,9.995,16.901,
2020-04-13 20:17:00+02:00,11.948,16.701,
2020-04-13 20:20:01+02:00,8.53,14.801,
2020-04-13 20:23:01+02:00,9.327,15.201,
